All,Toate
"VAT Request Identifier","Identificator solicitare TVA"
"VAT Request Date","Dată solicitare TVA"
"Pending Payment","Plată în așteptare"
Processing,"Se procesează"
"On Hold","în așteptare"
Complete,Finalizat
Closed,încheiat
"Suspected Fraud","Suspiciune de fraudă"
"Payment Review","Revizuire plată"
New,Nou
"This product is out of stock.","Acest produs este epuizat din stoc."
"test message","mesaj de test"
"Email has not been sent","Email-ul nu a fost trimis"
"Authorized amount of %1","Sumă autorizată de %1"
"Group was removed","Grupul a fost șters"
"Changing address information will not recalculate shipping, tax or other order amount.","Modificare informațiilor adresei nu va determina recalcularea livrării, taxelor sau cantității comenzii."
"Comment Text","Text comentariu"
"Notify Customer by Email","Notificare client prin email"
"Visible on Storefront","Vizibil în vitrină"
Notified,Notificat
"Not Notified","Nu a fost notificat"
"No Payment Methods","Nici o modaliatate de plată"
"Order Comments","Comentarii comandă"
"Apply Coupon Code","Aplicare cod cupon"
Apply,Aplicare
"Remove Coupon Code","Eliminare cod cupon"
"Payment &amp; Shipping Information","Plată &amp; Informații livrare"
"Order Currency:","Monedă comandă:"
"Same As Billing Address","Aceeași ca adresa de facturare"
"Select from existing customer addresses:","Selectați din adresele de clienți existente:"
"You don't need to select a shipping address.","Nu este nevoie să selectați o adresă de livrare."
"Gift Message for the Entire Order","Mesaj-cadou pentru înreaga comandă"
"Leave this box blank if you don't want to leave a gift message for the entire order.","Lăsați căsuța necompletată dacă nu doriți să lăsați un mesaj-cadou pentru întreaga comandă."
"Row Subtotal","Subtotal rând"
"No ordered items","Nici un articol comandat"
"Update Items and Quantities","Actualizare articole și cantități"
"Total %1 product(s)","Total %1 produse"
"Tier Pricing","Preț diferențiat"
"Custom Price","Preț standard"
"Move to Shopping Cart","Mutați în coșul de cumpărături"
"Move to Wish List","Mutați în lista de dorințe"
"Click to change shipping method","Faceți click pentru a modifica modalitatea de livrare"
"Sorry, no quotes are available for this order.","Ne pare rău, nu există mențiuni pentru această comandă."
"Get shipping methods and rates","Obțineți modalități de plată și rate"
"You don't need to select a shipping method.","Nu este necesară selectarea unei modalități de livrare."
"Customer's Activities","Activitățile clientului"
Refresh,Reîmprospătare
"Add To Order","Adăugați la comandă"
"Configure and Add to Order","Configurați și adăugați la comandă"
"No items","Nici un articol"
"Append Comments","Adăugați comentarii"
"Email Order Confirmation","Email de confirmare a comenzii"
"Grand Total Excl. Tax","Total general fără taxe incluse"
"Grand Total Incl. Tax","Total general cu taxe incluse"
"Subtotal (Excl. Tax)","Subtotal (fără taxe incluse)"
"Subtotal (Incl. Tax)","Subtotal (cu taxe incluse)"
"Payment &amp; Shipping Method","Plată &amp; Modalitate livrare"
"Payment Information","Informații plată"
"The order was placed using %1.","comanda a fost plasată utilizând %1."
"Items to Refund","Articole de restituit"
"Return to Stock","Retur la stoc"
"Qty to Refund","Cantitate de restituit"
"Tax Amount","Sumă taxă"
"Discount Amount","Sumă reducere"
"Row Total","Total rând"
"No Items To Refund","Nici un articol de restituit"
"Credit Memo Comments","Comentarii notă de credit"
"Refund Totals","Total restituiri"
"Email Copy of Credit Memo","Copie email a notei de credit"
"Please enter a positive number in this field.","Introduceți un număr pozitiv în acest câmp."
"Items Refunded","Articole restituite"
"No Items","Nici un articol"
"Memo Total","Total note"
"Credit Memo History","Istoric note de credit"
"Credit Memo Totals","Total note de credit"
"Customer Name: %1","Nume client: %1"
"Purchased From: %1","Achiziționat de la: %1"
"Gift Message",Mesaj-cadou
From:,"De la:"
To:,Către:
Message:,Mesaj:
"Shipping &amp; Handling","Livrare &amp; Manipulare"
"Gift Options","Opțiuni cadou"
"Create Shipment","Creare livrare"
"Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice.","Tipurile de factură și livrare nu coincid la anumite articole din această comandă. O livrare se creează după crearea facturii."
"Qty to Invoice","Cantitate de facturat."
"Invoice History","Istoric factură"
"Invoice Comments","Comentarii factură"
"Invoice Totals","Total factură"
Amount,Sumă
"Capture Online","Captură Online"
"Capture Offline","Captură Offline"
"Not Capture","Fără captură"
"The invoice will be created offline without the payment gateway.","Factura va fi creată offline fără gateway-ul plății."
"Email Copy of Invoice","Copie email a facturii"
"Items Invoiced","Articole facturate"
"Total Due","Total de plătit"
"Total Tax","Total Taxe"
"From Name","De la numele"
"To Name","Către numele"
"Notification Not Applicable","Notificarea nu se aplică"
"Order & Account Information","Informații comandă și cont"
"The order confirmation email was sent","Email-ul de confirmare a comenzii a fost trimis"
"The order confirmation email is not sent","Email-ul de confirmare a comenzii nu a fost trimis"
"Order Date","Dată comandă"
"Order Date (%1)","Dată comandă (%1)"
"Purchased From","Achiziționat de la"
"Link to the New Order","Link la Comandă nouă"
"Link to the Previous Order","Link la Comanda anterioară"
"Placed from IP","Plasată de la IP-ul"
"%1 / %2 rate:","Rată %1 / %2 :"
"Customer Name","Nume client"
"Notes for this Order","Observații pentru această comandă"
"Comment added","comentariu adăugat"
"Transaction Data","Informații tranzacție"
"Parent Transaction ID","ID principal tranzacție"
"Transaction Type","Tip tranzacție"
"Is Closed","Este închis"
"Child Transactions","Tranzacții secundare"
"Transaction Details","Detalii tranzacție"
Items,Articole
"Gift Message for this Order","Mesaj-cadou pentru această comandă"
"Shipped By","Livrat de către"
"Tracking Number","Număr de urmărire comandă"
"Billing Last Name","Nume facturare"
"Find Order By","Găsire comandă după"
"ZIP Code","Cod poștal"
"Billing ZIP Code","Cod poștal facturare"
"Print All Refunds","Printați toate restituirile"
"Refund #","Restituire #"
"Print Refund","Printați restituirea"
"Product Name","Nume produs"
"No shipping information available","Nu sunt disponibile informații despre livrare"
"Print Order","Printare comandă"
"Print All Invoices","Printați toate facturile"
"Invoice #","Factura #"
"Print Invoice","Printați factura"
"Qty Invoiced","Cantitate facturată"
"About Your Order","Despre comanda dumneavoastră"
"<span class=""label"">Order Date:</span> %1","<span class=""etichetă"">Dată comandă:</span> %1"
"Refund #%1","Restituire #%1"
"Shipment #%1","Livrare #%1"
"Qty Shipped","Cantitate livrată"
"Recent Orders","Comenzi recente"
"View All","Vizualizare toate"
"Gift Message for This Order","Mesaj-cadou pentru această comandă"
"Add to Cart","Adăugați in coș"
"Product is not salable.","Produsul nu este la vânzare."
Search,Căutare
"Thank you for your order from %store_name.","Vă mulțumim pentru comanda de la %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Puteți verifica statusul comenzii dumneavoastră prin <a href=""%account_url"">conectare la contul dumneavoastră</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Dacă aveți întrebări referitoare la comanda dumneavoastră, ne puteți trimite email la <a href=""mailto:%store_email"">%store_email</a>"
"Your Credit Memo #%creditmemo_id for Order #%order_id","Nota dumneavoastră de credit #%creditmemo_id pentru comanda #%order_id"
"Billing Info","Informații facturare"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Comanda dumneavoastră #%increment_id a fost actualizată la statusul de <strong>%order_status</strong>."
"Your Invoice #%invoice_id for Order #%order_id","Factura dumneavoastră #%invoice_id pentru Comanda #%order_id"
"Once your package ships we will send you a tracking number.","Odată ce coletul este livrat, vă vom trimite numărul de urmărire al comenzii."
"Your Order <span class=""no-link"">#%increment_id</span>","Comanda dumneavoastră <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Plasat la <span class=""no-link"">%created_at</span>"
"Once your package ships we will send an email with a link to track your order.","Odată ce coletul este livrat, vă vom trimite un email cu link-ul pentru urmărirea comenzii."
"Your shipping confirmation is below. Thank you again for your business.","Confirmarea dumneavoastră de livrare este mai jos. Vă mulțimim din nou pentru activitatea dumneavoastră."
"Your Shipment #%shipment_id for Order #%order_id","Livrarea dumneavoastră #%shipment_id pentru Comanda #%order_id"
"Add Products","Adăugați produse"
"Hide Customer IP","Ascundeți IP-ul clientului"
"Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos.","Alegeți dacă se afișează IP-ul clientului în comenzi, facturi, livrări și note de credit."
"Checkout Totals Sort Order","Sortare comandă Total Checkout-uri"
"Allow Reorder","Permiteți Comandare din nou"
"Invoice and Packing Slip Design","Design factură și ambalare"
"Logo for PDF Print-outs (200x50)","Logo pentru imprimări PDF (200x50)"
"Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.","Logo-ul dumneavoastră implicit va fi folosit în documente PDF și HTML.<br />(jpeg, tiff, png) Dacă imaginea pdf este distorsionată, încercați utilizarea unei imagini de o mărime mai mare."
"Logo for HTML Print View","Logo pentru vizualizare imprimare HTML"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","Logo numai pentru documente HTML. Dacă este gol, setările implicite vor fi utilizate.<br />(jpeg, gif, png)"
"Minimum Order Amount","Cantitate minimă comandă"
Enable,Activați
"Minimum Amount","Cantitate minimă"
"Include Tax to Amount","Includeți taxele în sumă"
"Description Message","Mesaj de descriere"
"This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount.","Acest mesaj va fi afișat în coșul de cumpărături atunci când subtotalul (după reducere) este mai mic decât cantitatea minimă admisă ."
"Error to Show in Shopping Cart","Eroare la afișarea în coșul de cumpărături"
"Validate Each Address Separately in Multi-address Checkout","Validați separat fiecare adresă în Checkout-ul cu Adrese multiple"
"Multi-address Description Message","Mesaj de descriere Adrese multiple"
"We'll use the default description above if you leave this empty.","Se va folosi descrierea implicită de mai sus dacă lăsați câmpul necompletat."
"Multi-address Error to Show in Shopping Cart","Eroare adresă multiplă de afișat în coșul de cumpărături"
"We'll use the default error above if you leave this empty.","Se va folosi eroarea implicită de mai sus dacă lăsați câmpul necompletat."
Dashboard,Panou
"Orders Cron Settings","Setări Cron comenzi"
"Pending Payment Order Lifetime (minutes)","Plată în așteptare pentru termenul de comandă (minute)"
"Sales Emails","Email-uri vânzări"
"Asynchronous sending","Trimitere asincronă"
"New Order Confirmation Email Sender","Experdiere Email de confirmare pentru Comandă nouă"
"New Order Confirmation Template","șablon confirmare pentru Comandă nouă"
"New Order Confirmation Template for Guest","șablon confirmare Comandă nouă pentru Vizitator"
"Send Order Email Copy To","Trimiteți copie email pentru comandă la"
Comma-separated.,"Separate prin Virgulă."
"Send Order Email Copy Method","Modalitate trimitere copie email de comandă."
"Order Comment Email Sender","Trimitere email comentariu comandă"
"Order Comment Email Template","șablon email comentariu comandă"
"Order Comment Email Template for Guest","șablon email comentariu comandă pentru Vizitator"
"Send Order Comment Email Copy To","Trimiteți copie email de comentariu comandă la"
"Send Order Comments Email Copy Method","Modalitate trimitere copie email de comentarii comandă."
"Invoice Email Sender","Trimitere email factură"
"Invoice Email Template","șablon email factură"
"Invoice Email Template for Guest","șablon email factură pentru vizitator"
"Send Invoice Email Copy To","Trimiteți copie email factură la"
"Send Invoice Email Copy Method","Modalitate trimitere copie email factură"
"Invoice Comment Email Sender","Trimitere email comentariu factură"
"Invoice Comment Email Template","șablon email comentariu factură"
"Invoice Comment Email Template for Guest","șablon email comentariu factură pentru Vizitator"
"Send Invoice Comment Email Copy To","Trimiteți copie email comentariu factură la"
"Send Invoice Comments Email Copy Method","Modalitate trimitere copie email comentarii factură"
Shipment,Livrare
"Shipment Email Sender","Trimitere email livrare"
"Shipment Email Template","șablon email livrare"
"Shipment Email Template for Guest","șablon email livrare pentru Vizitator"
"Send Shipment Email Copy To","Trimitere copie email de livrare la"
"Send Shipment Email Copy Method","Modalitate trimitere copie email delivrare"
"Shipment Comments","Comentarii livrare"
"Shipment Comment Email Sender","Trimitere email comentariu livrare"
"Shipment Comment Email Template","șablon email comentariu livrare"
"Shipment Comment Email Template for Guest","șablon email comentariu livrare pentru Vizitator"
"Send Shipment Comment Email Copy To","Trimitere copie email comentariu livrare la"
"Send Shipment Comments Email Copy Method","Modalitate trimitere copie email comentarii livrare"
"Credit Memo Email Sender","Trimitere email notă de credit"
"Credit Memo Email Template","șablon email notă de credit"
"Credit Memo Email Template for Guest","șablon email notă de credit pentru Vizitator"
"Send Credit Memo Email Copy To","Trimitere copie email notă de credit la"
"Send Credit Memo Email Copy Method","Modalitate trimitere copie email notă de credit"
"Credit Memo Comment Email Sender","Trimitere email comentariu notă de credit"
"Credit Memo Comment Email Template","șablon email comentariu notă de plată"
"Credit Memo Comment Email Template for Guest","șablon email comentariu notă de plată pentru Vizitator"
"Send Credit Memo Comment Email Copy To","Trimitere copie email comentariu notă de credit la"
"Send Credit Memo Comments Email Copy Method","Modalitate trimitere copie email comentarii notă de credit"
"PDF Print-outs","Imprimări PDF"
"Display Order ID in Header","Afișați ID-ul comenzii în antet"
"Customer Order Status Notification","Notificare status comandă client"
"Asynchronous indexing","Indexare asincronă"
"Orders and Returns Search Form","Formular de căutare Comenzi și Retururi"
"Anchor Custom Title","Titlu personalizat fix"
Template,șablon
"Default Template","șablon Implicit"
"ZIP/Post Code","Cod Poștal"
"Signed-up Point","Punct de înscriere"
"Invoice Date","Dată factură"
"Ship Date","Dată livrare"
"Total Quantity","Cantitate Totală"
"Default Status","Status implicit"
"State Code and Title","Cod și titlu status"
"Item Status","Status articol"
"Original Price","Preț original"
"Tax Percent","Procentaj taxă"
"PDF Credit Memos","Note de credit PDF"
"Print Invoices","Imprimare facturi"
"Print Packing Slips","Imprimare ambalaj"
"Print Credit Memos","Imprimare note de credit"
"Print All","Imprimare toate"
"Print Shipping Labels","Imprimare etichete de livrare"
"Purchase Date","Dată achiziție"
"Grand Total (Base)","Total General (Base)"
"Grand Total (Purchased)","Total General (Achiziționat)"
"Customer Email","Email client"
"Shipping and Handling","Livrare și manipulare"
"PDF Invoices","Facturi PDF"
"PDF Shipments","Livrări PDF"
"PDF Creditmemos","Note de credit PDF"
Refunds,Restituiri
"Condition type ""%1"" is not allowed","Tip condiție ""%1"" nu este acceptat"
"Unsupported bookmark action.","Acțiune Semn de carte neacceptată."
"per page","pe pagină"
"Use Default Value","Folosiți valoare implicită"
"Browse to find or drag image here","Răsfoire pentru a găsi sau glisează imaginea aici"
"Delete image","ștergeți imagine"
"Changes have been made to this section that have not been saved.","Au fost făcute modificări la această sectiune care nu au fost salvate."
"This tab contains invalid data. Please resolve this before saving.","Această filă conține informații nevalide. Corectați înainte de a salva."
"Show more","Mai multe"
Previous,Anterior
Options,Opțiuni
Export,Exportați
"We couldn't find any records.","Nu s-au putut găsi registre."
"records found","registre găsite"
selected,selectat
Add,Adăugare
"Select All","Selectare toate"
"Deselect All","Deselectare toate"
"Go to Details Page","Mergeți la Pagina de Detalii"
to,la
"Select Date","Selectare dată"
"Please enter more or equal than {0} symbols.","Introduceți simboluri mai mari sau egale cu {0} ."
"Please enter less or equal than {0} symbols.","Introduceți simboluri mai mici sau egale cu {0} ."
"Please enter {0} words or less.","Introduceți {0} sau mai puține cuvinte."
"Please enter at least {0} words.","Introduceți cel puțin {0} cuvinte."
"Please enter between {0} and {1} words.","Introduceți între {0} și {1} cuvinte."
"Letters or punctuation only please","Introduceți numai litere și semne de puctuație"
"Letters, numbers, spaces or underscores only please","Introduceți numai litere, spații sau underscore"
"Letters only please","Introduceți numai litere"
"No white space please","Nu introduceți spații albe"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","Codul dumneavoastră poștal trebuie să fie în intervalul de la 902xx-xxxx la 905-xx-xxxx"
"A positive or negative non-decimal number please","Introduceți numere non-zecimale negative sau pozitive"
"The specified vehicle identification number (VIN) is invalid.","Numărul de identificare a vehiculului (NIV) nu este valid."
"Please enter a correct date","Introduceți o dată validă"
"Please enter a valid time, between 00:00 and 23:59","Introduceți o oră validă, între 00:00 și 23:59"
"Please enter a valid time, between 00:00 am and 12:00 pm","Introduceți o oră validă, între 00:00 am și 12:00 pm"
"Please specify a valid phone number","Specificați un număr de telefon valid"
"Please specify a valid mobile number","Specificați un număr de telefon mobil valid"
"Please enter at least {0} characters","Introduceți cel puțin {0} caractere"
"Please enter a valid credit card number.","Introduceți un număr de card de credit valid."
"Please enter a valid IP v4 address.","Introduceți o adresă IP v4 validă."
"Please enter a valid IP v6 address.","Introduceți o adresă IP v6 validă."
"Invalid format.","Format nevalid."
"HTML tags are not allowed.","Etichetele HTML nu sunt permise."
"Empty Value.","Valoare nulă."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","Folosiți numai litere (a-z sau A-Z), numere (0-9) sau spații în acest câmp."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Folosiți numai litere (a-z sau A-Z), numere (0-9) sau underscore (_) în acest câmp, iar primul caracter trebuie să fie o literă."
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","Folosiți numai litere (a-z sau A-Z), numere (0-9), spații și ""#"" în acest câmp."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Introduceți un număr de telefon valid. De exemplu (123) 456-7890 sau 123-456-7890."
"Please enter a valid fax number (Ex: 123-456-7890).","Introduceți un număr de fax valid (Ex: 123-456-7890)."
"Please enter a valid email address (Ex: johndoe@domain.com).","Introduceți o adresă email validă (Ex: johndoe@domain.com)."
"Please enter 7 or more characters, using both numeric and alphabetic.","Introduceți 7 sau mai multe caractere, folosind caractere numerice și alfabetice."
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://).","Introduceți un URL valid. Protocol necesar (http://, https:// or ftp://)."
"Please enter a valid URL. For example http://www.example.com or www.example.com.","Introduceți un URL valid. De exemplu http://www.example.com sau www.example.com."
"Please enter a valid XML-identifier (Ex: something_1, block5, id-4).","Introduceți un identificator XML valid (Ex: something_1, block5, id-4)."
"Please enter a valid social security number (Ex: 123-45-6789).","Introduceți un număr de asigurare socială valid (Ex: 123-45-6789)."
"Please enter a valid zip code (Ex: 90602 or 90602-1234).","Introduceți un cod poștal valid (Ex: 90602 or 90602-1234)."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Utilizați acest format de dată: zz/ll/aaaa. De exemplu 17/03/2006 pentru 7 matie 2006."
"Please enter a valid $ amount. For example $100.00.","Introduceți o sumă în $ validă. De exemplu $100.00."
"Please enter a number 0 or greater in this field.","Introduceți un număr mai mare sau egal cu 0 în acest câmp."
"Please enter a number greater than 0 in this field.","Introduceți un număr mai mare de 0 în acest câmp."
"Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%).","Introduceți un CSS cu o lungime validă (Ex: 100px, 77pt, 20em, .5ex or 50%)."
"Please enter a valid number in this field.","Introduceți un număr valid în acest câmp."
"The value is not within the specified range.","Valoarea nu se încadrează în intervalul specificat."
"Please use letters only (a-z or A-Z) in this field.","Folosiți numai litere (a-z sau A-Z) în acest câmp."
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.","Folosiți numai litere (a-z sau A-Z) sau numere (0-9) în acest câmp. Spațiile sau alte caractere nu sunt acceptate."
"Please enter a valid date.","Introduceți o dată validă."
"Make sure the To Date is later than or the same as the From Date.","Asigurați-vă că Până la este o dată mai târzie sau acceeași dată ca De la."
"Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"").","Introduceți o cheie URL validă (Ex: ""example-page"", ""example-page.html"" sau ""anotherlevel/example-page"")."
"Please enter a valid zip code.","Introduceți un cod poștal valid."
"Please select State/Province.","Selectați Stat/Zonă"
"Please enter issue number or start date for switch/solo card type.","Introduceți numărul de emitere sau data de început a valabilității tipului de card switch/solo."
"This is a required field.","Acesta este un câmp obligatoriu."
"Please enter positive number in this field.","Introduceți un număr pozitiv în acest câmp."
"Please enter a valid value, ex: 10,20,30","Introduceți o valoare validă, ex: 10,20,30"
"The fewest you may purchase is %1.","Cantitatea minimă de achiziție este de %1."
"We don't recognize or support this file extension type.","Nu se recunoaște sau nu se acceptă acest tip de extensie fișier."
Attention,Atenție
"Log JS Errors to Session Storage","înscrieți Erorile JS la sesiunea de stocare"
"Log JS Errors to Session Storage Key","înscrieți erorile JS la cheia sesiunii de stocare"
"Excel XML","XML Excel"
"Edit URL Rewrite for a Category","Modificați Rescrierea URL pentru o Categorie"
"Add URL Rewrite for a Category","Adăugați Rescrierea URL pentru o categorie"
Category:,Categorie:
"We can't set up a URL rewrite because the product you chose is not associated with a website.","Nu se poate seta rescrierea URL deoarece produsul ales nu este asociat cu un website."
"Please assign a website to the selected category.","Atribuiți un website categoriei selectate."
"Edit URL Rewrite for a Product","Editare Rescriere URL pentru un produs"
"Add URL Rewrite for a Product","Adăugare Rescriere URL pentru un produs"
Product:,Produs:
"Skip Category Selection","Omite selecție categorie"
"Edit URL Rewrite for CMS page","Editare Rescriere URL pentru pagina CMS"
"Add URL Rewrite for CMS page","Adăugare Rescriere URL pentru pagina CMS"
"CMS page:","Pagină CMS:"
"Please assign a website to the selected CMS page.","Atribuiți un website paginii CMS selectate."
"URL Key","Cheie URL"
"Edit URL Rewrite","Editare Rescriere URL"
"Add New URL Rewrite","Adăugare Rescriere URL nouă"
"Block Information","Informații bloc"
"URL Rewrite Information","Informații Rescriere URL"
"Request Path","Cale solicitată"
"Target Path","Cale țintă"
"Redirect Type","Tip redirecționare"
"URL Rewrite Management","Gestionare Rescriere URL"
"Add URL Rewrite","Adăugare Rescriere URL"
"For CMS page","Pentru pagina CMS"
"You deleted the URL rewrite.","Ați șters rescrierea URL."
"We can't delete URL Rewrite right now.","Nu se poate șterge rescrierea URL în acest moment."
"URL Rewrites","Rescrieri URL"
"The URL Rewrite has been saved.","Rescrierea URL a fost salvată."
"Do not use two or more consecutive slashes in the request path.","Nu folosiți două sau mai multe bări oblice consecutive în calea solicitată."
"Anchor symbol (#) is not supported in request path.","Simbolul ancoră (#) nu este acceptat în calea solicitată."
"Do not use two or more consecutive slashes in the url rewrite suffix.","Nu folosiți două sau mai multe bări oblice consecutive în sufixul de rescriere URL."
"Anchor symbol (#) is not supported in url rewrite suffix.","Simbolul ancoră (#) nu este acceptat în sufixul de rescriere URL."
"Temporary (302)","Temporar (302)"
"Request Path for Specified Store","Cale Solicitată pentru Magazinul Specificat"
"URL key for specified store already exists.","Cheia URL pentru magazinul specificat există deja."
"Custom storage message","Mesaj stocare personalizat"
"Select Category","Selectați categorie"
"Now Shopping by","Acum cumparand in functie de"
"Remove This Item","Înlătură acest produs"
"Shop By","Cumpara in functie de"
"Clear All","Șterge tot"
"Shopping Options","Opțiuni de cumpărături"
"Welcome to %store_name","Bine ai venit la %store_name"
"%name,","%nume,"
"Welcome to %store_name.","Bine ai venit la %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Pentru a vă conecta la site-ul nostru, folosiți aceste acreditări în timpul finalizării comenzii sau pe pagina <a href=""%customer_url"">Contul meu</a>:"
Email:,E-mail:
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Ți-ai uitat parola contului? Apasă <a href=""%reset_url"">aici</a> pentru a-l reseta."
"When you sign in to your account, you will be able to:","Când te conectezi la contul tău, vei putea să:"
"Quick Checkout","Comanda rapida"
"Proceed through checkout faster","Treci mai repede prin comandă"
"Order Status","Statusul comenzii"
"Check the status of orders","Verificați starea comenzilor"
"Manage Addresses","Gestionare adrese"
"Store alternative addresses","Salvează adrese alternative"
"For shipping to multiple family members and friends","Pentru livrare la mai mulți membri de familie și prieteni"
"Order History","Istoricul comenzilor"
"View past orders","Vezi comenzile anterioare"
Footer,Subsol
"Credit memo for your %store_name order","Nota de credit pentru comanda %store_name"
"Thank you for your order from %store_name.","Iti multumim pentru comanda facuta la %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Poți verifica starea comenzii tale prin <a href=""%account_url"">autentificarea în contul tău</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Daca ai intrebari despre comanda ta, ne poti trimite un email la <a href=""mailto:%store_email"">%store_email</a>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Nota ta de credit #%creditmemo_id pentru comanda #%order_id"
"Billing Info","Informații de facturare"
"Payment Method","Metodă de plată"
"Update to your %store_name credit memo","Actualizare legata de credit memo-ul tau la %store_name"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Comanda ta #%increment_id a fost actualizată cu urmatorul status <strong>%order_status</strong>."
"Invoice for your %store_name order","Factură pentru comanda %store_name"
"Your Invoice #%invoice_id for Order #%order_id","Factura ta #%invoice_id pentru comanda #%order_id"
"Update to your %store_name invoice","Actualizare legata de factura ta %store_name"
"Your %store_name order confirmation","Confirmarea comenzii %store_name"
"Once your package ships we will send you a tracking number.","Odată ce pachetele vor fi expediate vă vom trimite un număr de urmărire."
"Your Order <span class=""no-link"">#%increment_id</span>","Comanda ta <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Comanda efectuata in data de <span class=""no-link"">%created_at</span>"
"Update to your %store_name order","Actualizare legata de comanda ta la %store_name"
"Your %store_name order has shipped","Comanda ta %store_name a fost expediată"
"Your shipping confirmation is below. Thank you again for your business.","Confirmarea expedierii este mai jos. Vă mulțumim din nou pentru afacerea dumneavoastră."
"Your Shipment #%shipment_id for Order #%order_id","Expedierea ta #%shipment_id pentru comanda #%order_id"
"Update to your %store_name shipment","Actualizare legata de transportul comenzii tale la %store_name"
"Backup options","Opțiuni de backup"
Warning,Avertizare
"No records found.","Nu au fost găsite înregistrări."
"Recent items","Articole recente"
"Show all...","Arată tot..."
"Please enter a number greater 0 in this field.","Vă rugăm introduceți un număr mai mare de 0 în acest câmp."
"Please select one of each ratings above.","Vă rugăm acordați câte o notă pentru fiecare evaluare de mai sus."
"Please specify Url.","Vă rugăm să specificați URL-ul."
"Method %s does not exist on jQuery.decorate","Metoda %s nu există în jQuery.decorate"
Close,Închide
Next,"Mai departe"
"Please wait...","Vă rugăm așteptați..."
Loading...,"Se încarcă..."
more,"mai mult"
Translate,Traduceți
Submit,Trimite
"Please enter {0} words or less.","Vă rugăm introduceți maxim {0} cuvinte."
"Please enter between {0} and {1} words.","Vă rugăm introduceți între {0} și {1} cuvinte."
"Letters or punctuation only please","Numai litere și semne de punctuație"
"Letters, numbers, spaces or underscores only please","Numai litere, numere, spații și underscore, vă rugăm"
"Letters only please","Numai litere vă rugăm"
"No white space please","Fără spații vă rugăm"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","Codul dumneavostră poștal trebuie să fie între 902xx-xxxx și 905-xx-xxxx"
"A positive or negative non-decimal number please","Un număr pozitiv sau negativ fără zecimale vă rugăm"
"The specified vehicle identification number (VIN) is invalid.","Numărul de indentificare a vehiculului (VIN) este invalid."
"Please enter a correct date","Vă rugăm să introduceți o dată validă"
"Please enter a valid time, between 00:00 and 23:59","Vă rugăm să introduceți o oră validă, între 00:00 și 23:59"
"Please enter a valid time, between 00:00 am and 12:00 pm","Vă rugăm să introduceți o oră validă, între 00:00 am și 12:00 pm"
"Please specify a valid phone number","Vă rugăm să furnizați un număr de telefon valid"
"Please specify a valid mobile number","Vă rugăm să furnizați un număr de telefon mobil valid"
"Please enter at least {0} characters","Vă rugăm să introduceți cel puțin {0} caractere"
"Please remove invalid characters: {0}.","Vă rugăm să ștergeți caracterele invalide: {0}."
"Please enter a valid credit card number.","Vă rugăm să introduceți un număr de card valid."
"Please enter a valid IP v4 address.","Vă rugăm să introduceți o adresă IP v4 validă."
"Please enter a valid IP v6 address.","Vă rugăm să introduceți o adresă IP v6 validă."
"Invalid format.","Formatul nu este valid."
"HTML tags are not allowed.","Tag-urile de HTML nu sunt permise."
"Please select an option.","Vă rugăm selectați o opțiune."
"Empty Value.","Valoare Nespecificată."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","Vă rugăm folosiți numai litere (a-z or A-Z), numere (0-9) sau spații în acest câmp."
